ID,Name_x,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th,Name_y,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0
NGC 6541,,18:08:02.36,-43:42:53.6,349.29,-11.19,7.5,2.1,7.3,-1.4,-1.5,-158.7,2.3,-154.2,8.2,2.1,1.86,0.18,1.06,15.44,4.65,7.55,9.03,XXXX,-1.82,12.5,0.5,H,30,,1.0,2.1,-8.52,46.3,5.019
NGC 6584,,18:18:37.60,-52:12:56.8,342.14,-16.41,13.5,7.0,12.3,-4.0,-3.8,222.9,15.0,224.9,,,1.47,0.26,0.73,17.63,3.33,8.13,9.02,XXXX,-1.5,11.75,0.25,A,12-30,,-0.15,7.0,-7.69,24.7,4.112
NGC 6624,,18:23:40.51,-30:21:39.7,2.79,-7.91,7.9,1.2,7.8,0.4,-1.1,53.9,0.6,62.1,5.4,0.5,2.5,0.06,0.82,15.32,5.3,6.61,8.71,XXXX,-0.42,11.25,0.5,V,16,11.00–11.25,-1.0,1.2,-7.49,26.2,4.869
NGC 6637,M 69,18:31:23.10,-32:20:53.1,1.72,-10.27,8.8,1.7,8.6,0.3,-1.6,39.9,2.8,47.5,,,1.38,0.33,0.84,16.82,3.84,8.15,8.82,M69,-0.59,11.0,0.38,V,16,11.00–11.25,-1.0,1.7,-7.64,27.7,4.308
NGC 6652,,18:35:45.63,-32:59:26.6,1.53,-11.38,10.0,2.7,9.8,0.3,-2.0,-111.7,5.8,-104.3,,,1.8,0.1,0.48,16.1,4.48,7.05,8.39,XXXX,-0.76,11.25,0.25,V,16,11.00–11.25,-1.0,2.7,-6.66,23.9,4.583
NGC 6656,M 22,18:36:23.94,-23:54:17.1,9.89,-7.55,3.2,4.9,3.2,0.6,-0.4,-146.3,0.2,-136.6,7.8,0.3,1.38,1.33,3.36,17.42,3.63,8.53,9.23,M22,-1.7,12.5,0.5,H,30,,0.91,4.9,-8.5,33.9,4.311
NGC 6681,M 70,18:43:12.76,-32:17:31.6,2.85,-12.51,9.0,2.2,8.8,0.4,-2.0,220.3,0.9,227.8,5.2,0.5,2.5,0.03,0.71,14.25,5.82,5.82,8.65,M70,-1.62,12.75,0.38,A,30-32,,0.96,2.2,-7.12,29.3,5.21
NGC 6715,M 54,18:55:03.33,-30:28:47.5,5.61,-14.09,26.5,18.9,25.6,2.5,-6.5,141.3,0.3,149.2,10.5,0.3,2.04,0.09,0.82,14.78,4.69,8.24,9.93,M54,-1.44,11.75,0.5,V,32,,0.54,18.9,-9.98,59.7,4.968
NGC 6717,Pal 9,18:55:06.04,-22:42:05.3,12.88,-10.9,7.1,2.4,6.8,1.6,-1.3,22.8,3.4,32.7,,,2.07,0.08,0.68,16.77,4.58,6.52,8.22,XXXX,-1.26,12.5,0.5,V,13,,0.98,2.4,-5.66,16.3,4.458
NGC 6723,,18:59:33.15,-36:37:56.1,0.07,-17.3,8.7,2.6,8.3,0.0,-2.6,-94.5,3.6,-88.3,,,1.11,0.83,1.53,18.13,2.79,8.79,9.24,XXXX,-1.1,12.5,0.25,V,13,12.25–12.75,-0.08,2.6,-7.83,21.9,3.755
NGC 6752,,19:10:52.11,-59:59:04.4,336.49,-25.63,4.0,5.2,3.3,-1.4,-1.7,-26.7,0.2,-27.3,4.9,0.4,2.5,0.17,1.91,14.88,5.04,6.88,8.87,XXXX,-1.55,12.5,0.25,A,30,,1.0,5.2,-7.73,24.5,4.655
NGC 6779,M 56,19:16:35.57,+30:11:00.5,62.66,8.34,9.4,9.2,4.3,8.3,1.4,-135.6,0.9,-119.1,4.0,0.6,1.38,0.44,1.1,18.08,3.28,8.33,9.01,M56,-2.0,12.75,0.5,H,30,,0.98,9.2,-7.41,20.8,3.905
NGC 6809,M 55,19:39:59.71,-30:57:53.1,8.79,-23.27,5.4,3.9,4.9,0.8,-2.1,174.7,0.3,181.8,4.0,0.3,0.93,1.8,2.83,19.36,2.22,8.9,9.29,M55,-1.93,13.0,0.25,A,12-30,12.75–13.25,0.87,3.9,-7.57,18.3,3.515
NGC 6838,M 71,19:53:46.49,+18:46:45.1,56.75,-4.56,4.0,6.7,2.2,3.4,-0.3,-22.8,0.2,-7.5,2.3,0.2,1.15,0.63,1.67,19.75,2.83,7.54,8.43,M71,-0.82,11.0,0.38,V,16,11.00,-1.0,6.7,-5.61,13.0,3.746
NGC 6934,,20:34:11.37,+07:24:16.1,52.1,-18.89,15.6,12.8,9.1,11.7,-5.1,-411.4,1.6,-398.5,5.1,1.1,1.53,0.22,0.69,17.35,3.44,8.2,9.04,XXXX,-1.56,11.75,0.25,V,12-30,11.50–12.00,0.25,12.8,-7.45,21.6,3.998
NGC 6981,M 72,20:53:27.70,-12:32:14.3,35.16,-32.68,17.0,12.9,11.7,8.3,-9.2,-345.0,3.7,-336.2,,,1.21,0.46,0.93,19.02,2.38,8.72,9.23,M72,-1.48,11.5,0.25,V,12-30,11.25–11.75,0.14,12.9,-7.04,13.9,3.304
NGC 7078,M 15,21:29:58.33,+12:10:01.2,65.01,-27.31,10.4,10.4,3.9,8.3,-4.8,-107.0,0.2,-96.0,13.5,0.9,2.29,0.14,1.0,14.21,5.05,7.84,9.32,M15,-2.33,12.75,0.25,V,11,12.50–12.75,0.67,10.4,-9.19,41.6,4.827
NGC 7089,M 2,21:33:27.02,-00:49:23.7,53.37,-35.77,11.5,10.4,5.6,7.5,-6.7,-5.3,2.0,3.8,8.2,0.6,1.59,0.32,1.06,15.78,4.0,8.48,9.4,M2,-1.66,11.75,0.25,A,12-30,11.50–11.75,0.92,10.4,-9.03,41.8,4.531
NGC 7099,M 30,21:40:22.12,-23:10:47.5,27.18,-46.84,8.1,7.1,4.9,2.5,-5.9,-184.2,0.2,-179.6,5.5,0.4,2.5,0.06,1.03,15.35,5.01,6.37,8.88,M30,-2.33,13.0,0.25,A,11-30,12.75–13.00,0.89,7.1,-7.45,25.4,4.831
